Track,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS),BaseMatcher,Method
knowledgegraph,Paris_TransitivePairsWindowClassesDescending,ALL,0.37564259574797665,0.04022162403706735,0.020758525154265003,0.07266292477045924,0.7086527929901424,0.08425027671072335,0.033152033152033154,0.15059645039278438,1294,128,532,14065,4502,3425017944150,00:57:05,Paris,TransitivePairsWindowClassesDescending
knowledgegraph,Paris_TransitivePairsWindowClassesDescending,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,49,10,-,-,Paris,TransitivePairsWindowClassesDescending
knowledgegraph,Paris_TransitivePairsWindowClassesDescending,PROPERTIES,0.6571428571428571,0.0295680757346657,0.0295680757346657,0.056589894927332074,0.5,0.03314917127071823,0.03314917127071823,0.0621761658031088,6,6,6,175,32,-,-,Paris,TransitivePairsWindowClassesDescending
knowledgegraph,Paris_TransitivePairsWindowClassesDescending,INSTANCES,0.3618310767246937,0.04030343415092136,0.019657445703487958,0.0725281445891192,0.7191513121161363,0.08513450988168418,0.033342443290516534,0.15224586288416075,1288,122,503,13841,4460,-,-,Paris,TransitivePairsWindowClassesDescending
knowledgegraph,Paris_IncrementalMergeTextAverage,ALL,0.8521700976817245,0.8389008218986277,0.5356581771477144,0.8454833999747747,0.8643679623385712,0.8846279054625952,0.5920745920745921,0.8743805907716069,13587,2286,2132,1772,49308,4867876418765,01:21:07,Paris,IncrementalMergeTextAverage
knowledgegraph,Paris_IncrementalMergeTextAverage,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,49,67,-,-,Paris,IncrementalMergeTextAverage
knowledgegraph,Paris_IncrementalMergeTextAverage,PROPERTIES,0.8936346820031614,0.6444878407372655,0.6444878407372656,0.748882716555013,0.9212598425196851,0.6464088397790055,0.6464088397790055,0.7597402597402598,117,117,10,64,297,-,-,Paris,IncrementalMergeTextAverage
knowledgegraph,Paris_IncrementalMergeTextAverage,INSTANCES,0.8556147661364795,0.8444589268156826,0.5123890908573285,0.8500002443124609,0.8664608259359321,0.8903430497719611,0.5927849139109046,0.8782396088019561,13470,2169,2076,1659,48944,-,-,Paris,IncrementalMergeTextAverage
knowledgegraph,ALOD2Vec_TransitivePairsFirstVsRestInstancesAscending,ALL,0.8283710604919456,0.19867970611084634,0.13074186545262717,0.32049149701461793,0.9082624544349939,0.09733706621524839,0.053354053354053355,0.17583063804763308,1495,206,151,13864,3354,443354795790,00:07:23,ALOD2Vec,TransitivePairsFirstVsRestInstancesAscending
knowledgegraph,ALOD2Vec_TransitivePairsFirstVsRestInstancesAscending,CLASSES,0.6,0.4533333333333333,0.06666666666666667,0.5164556962025316,1.0,0.3469387755102041,0.047619047619047616,0.5151515151515151,17,1,0,32,48,-,-,ALOD2Vec,TransitivePairsFirstVsRestInstancesAscending
knowledgegraph,ALOD2Vec_TransitivePairsFirstVsRestInstancesAscending,PROPERTIES,0.9470952380952381,0.6862365453230617,0.6862365453230617,0.7958350788009493,0.9457364341085271,0.6740331491712708,0.6740331491712708,0.7870967741935484,122,122,7,59,236,-,-,ALOD2Vec,TransitivePairsFirstVsRestInstancesAscending
knowledgegraph,ALOD2Vec_TransitivePairsFirstVsRestInstancesAscending,INSTANCES,0.717198894664421,0.1913033081822711,0.07945477728049391,0.30204114143931154,0.904,0.08962918897481657,0.022683793386171085,0.1630885801912322,1356,83,144,13773,3070,-,-,ALOD2Vec,TransitivePairsFirstVsRestInstancesAscending
knowledgegraph,AML_TransitivePairsWindowModelSizeDescending,ALL,0.5777502813891382,0.20436664553184247,0.12819934768518837,0.30193154731327143,0.9072689849420431,0.5452828960218764,0.32634032634032634,0.6811712078080521,8375,1260,856,6984,14035,13565711681010,03:46:05,AML,TransitivePairsWindowModelSizeDescending
knowledgegraph,AML_TransitivePairsWindowModelSizeDescending,CLASSES,0.5818181818181818,0.2561904761904762,0.12,0.355739229259221,0.9230769230769231,0.24489795918367346,0.2857142857142857,0.3870967741935484,12,6,1,37,42,-,-,AML,TransitivePairsWindowModelSizeDescending
knowledgegraph,AML_TransitivePairsWindowModelSizeDescending,PROPERTIES,0.5510204081632653,0.2260971426180814,0.2260971426180814,0.3206313888669766,0.8125,0.287292817679558,0.287292817679558,0.42448979591836733,52,52,12,129,111,-,-,AML,TransitivePairsWindowModelSizeDescending
knowledgegraph,AML_TransitivePairsWindowModelSizeDescending,INSTANCES,0.5513063036137222,0.20312825026315476,0.11880493116595962,0.2968736896703142,0.9079091107712476,0.5493423226915196,0.3285050560262367,0.6845117983774657,8311,1202,843,6818,13882,-,-,AML,TransitivePairsWindowModelSizeDescending
